fecha,ticker_yahoo,empresa,precio_cierre,volumen,sma_50,sma_200
2022-02-10,COL.MC,Inmobiliaria Colonial,6.4135,570975,6.668324,7.1165675
2022-02-11,COL.MC,Inmobiliaria Colonial,6.3676,561807,6.664738,7.1127655
2022-02-14,COL.MC,Inmobiliaria Colonial,6.2425,701075,6.659902,7.108053
2022-02-15,COL.MC,Inmobiliaria Colonial,6.3342,588966,6.655064,7.102599
2022-02-16,COL.MC,Inmobiliaria Colonial,6.4677,465453,6.65223,7.0981175
2022-02-17,COL.MC,Inmobiliaria Colonial,6.4468,585640,6.648394,7.0941415
2022-02-18,COL.MC,Inmobiliaria Colonial,6.3676,625587,6.64289,7.090197
2022-02-21,COL.MC,Inmobiliaria Colonial,6.2925,457582,6.634466,7.0852665
2022-02-22,COL.MC,Inmobiliaria Colonial,6.2842,638430,6.628962,7.080681
2022-02-23,COL.MC,Inmobiliaria Colonial,6.2884,584958,6.622792,7.0766865
2022-02-24,COL.MC,Inmobiliaria Colonial,6.1507,887029,6.613618,7.0721455
2022-02-25,COL.MC,Inmobiliaria Colonial,6.4176,688861,6.60903,7.069163
2022-02-28,COL.MC,Inmobiliaria Colonial,6.2967,882715,6.601024,7.0654335
2022-03-01,COL.MC,Inmobiliaria Colonial,6.2884,1009035,6.595354,7.06091
2022-03-02,COL.MC,Inmobiliaria Colonial,6.5344,1017765,6.591852,7.057759
2022-03-03,COL.MC,Inmobiliaria Colonial,6.2967,901828,6.582844,7.053358
2022-03-04,COL.MC,Inmobiliaria Colonial,6.0673,1017072,6.568666,7.0470575
2022-03-07,COL.MC,Inmobiliaria Colonial,6.0382,1258185,6.553488,7.040164
2022-03-08,COL.MC,Inmobiliaria Colonial,6.109,1206858,6.538892,7.033604
2022-03-09,COL.MC,Inmobiliaria Colonial,6.3801,1606335,6.529884,7.0282575
2022-03-10,COL.MC,Inmobiliaria Colonial,6.4218,1075833,6.52071,7.0228955
2022-03-11,COL.MC,Inmobiliaria Colonial,6.5928,919874,6.514956,7.0180425
2022-03-14,COL.MC,Inmobiliaria Colonial,6.6678,740261,6.509452,7.0139105
2022-03-15,COL.MC,Inmobiliaria Colonial,6.697,1107713,6.50278,7.0098025
2022-03-16,COL.MC,Inmobiliaria Colonial,6.7929,1253462,6.49836,7.005523
2022-03-17,COL.MC,Inmobiliaria Colonial,6.8054,816358,6.494272,7.000818
2022-03-18,COL.MC,Inmobiliaria Colonial,6.8096,1386425,6.492604,6.99591
2022-03-21,COL.MC,Inmobiliaria Colonial,6.7471,596738,6.488852,6.9911775
2022-03-22,COL.MC,Inmobiliaria Colonial,6.8888,574480,6.486766,6.9869505
2022-03-23,COL.MC,Inmobiliaria Colonial,6.647,1780429,6.480512,6.982043
2022-03-24,COL.MC,Inmobiliaria Colonial,6.7304,612782,6.476008,6.9781835
2022-03-25,COL.MC,Inmobiliaria Colonial,6.8805,931363,6.475008,6.975339
