Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Inditex,Amadeus IT Group,0.45156697738772017,"Textil, Vestido Y Calzado",Electrónica Y Software
Indra,Amadeus IT Group,0.31807673804898556,Electrónica Y Software,Electrónica Y Software
Inmobiliaria Colonial,Amadeus IT Group,0.42454326446068635,Socimi,Electrónica Y Software
International Airlines Group,Amadeus IT Group,0.5596013747638715,Transporte Y Distribución,Electrónica Y Software
Laboratorios Rovi,Amadeus IT Group,0.17874330405645275,Productos Farmacéuticos Y Biotecnología,Electrónica Y Software
Logista,Amadeus IT Group,0.27695447696354136,Transporte Y Distribución,Electrónica Y Software
MAPFRE,Amadeus IT Group,0.30945423688348855,Seguros,Electrónica Y Software
Meliá Hotels International,Amadeus IT Group,0.6086387740160605,"Ocio, Turismo Y Hostelería",Electrónica Y Software
Merlin Properties,Amadeus IT Group,0.4359373215509162,Socimi,Electrónica Y Software
Naturgy,Amadeus IT Group,0.21901347773758467,Electricidad Y Gas,Electrónica Y Software
Redeia,Amadeus IT Group,0.11838411272215313,Electricidad Y Gas,Electrónica Y Software
Repsol,Amadeus IT Group,0.17424645977042164,Petróleo,Electrónica Y Software
Sacyr,Amadeus IT Group,0.41731914207346704,Construcción,Electrónica Y Software
Santander,Amadeus IT Group,0.4259821275322574,Bancos Y Cajas De Ahorro,Electrónica Y Software
Solaria,Amadeus IT Group,0.1946971053165924,Energías Renovables,Electrónica Y Software
Telefónica,Amadeus IT Group,0.19070687594778987,Telecomunicaciones Y Otros,Electrónica Y Software
Unicaja,Amadeus IT Group,0.34365609420265814,Bancos Y Cajas De Ahorro,Electrónica Y Software
ACS,ArcelorMittal,0.4421956815349896,Construcción,"Mineral, Metales Y Transformación"
Acciona,ArcelorMittal,0.23248248578247055,Construcción,"Mineral, Metales Y Transformación"
Acciona Energía,ArcelorMittal,0.15823347771286272,Energías Renovables,"Mineral, Metales Y Transformación"
Acerinox,ArcelorMittal,0.7454776720552625,"Mineral, Metales Y Transformación","Mineral, Metales Y Transformación"
Aena,ArcelorMittal,0.2691348235025856,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Amadeus IT Group,ArcelorMittal,0.32544093786743106,Electrónica Y Software,"Mineral, Metales Y Transformación"
BBVA,ArcelorMittal,0.49588186926538097,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Banco Sabadell,ArcelorMittal,0.4032601289057637,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Bankinter,ArcelorMittal,0.36848646987890116,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
CaixaBank,ArcelorMittal,0.392090165710837,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Cellnex Telecom,ArcelorMittal,0.11951856152810807,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Enagás,ArcelorMittal,0.1325996043356207,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Endesa,ArcelorMittal,0.1341628516748201,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Ferrovial,ArcelorMittal,0.3455055116587376,Construcción,"Mineral, Metales Y Transformación"
Fluidra,ArcelorMittal,0.37680689557868374,Ingeniería Y Otros,"Mineral, Metales Y Transformación"
Grifols,ArcelorMittal,0.1884985362044426,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Iberdrola,ArcelorMittal,0.13805676358503616,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Inditex,ArcelorMittal,0.32105519350897604,"Textil, Vestido Y Calzado","Mineral, Metales Y Transformación"
Indra,ArcelorMittal,0.23333083616458716,Electrónica Y Software,"Mineral, Metales Y Transformación"
Inmobiliaria Colonial,ArcelorMittal,0.32116724712469846,Socimi,"Mineral, Metales Y Transformación"
International Airlines Group,ArcelorMittal,0.39431175804540025,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Laboratorios Rovi,ArcelorMittal,0.15532309723526092,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Logista,ArcelorMittal,0.23115953864969646,Transporte Y Distribución,"Mineral, Metales Y Transformación"
MAPFRE,ArcelorMittal,0.3834928546975637,Seguros,"Mineral, Metales Y Transformación"
Meliá Hotels International,ArcelorMittal,0.35220772020360586,"Ocio, Turismo Y Hostelería","Mineral, Metales Y Transformación"
Merlin Properties,ArcelorMittal,0.32551727812444015,Socimi,"Mineral, Metales Y Transformación"
Naturgy,ArcelorMittal,0.13913392890521323,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Redeia,ArcelorMittal,0.03658976111646051,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Repsol,ArcelorMittal,0.33441740453777025,Petróleo,"Mineral, Metales Y Transformación"
Sacyr,ArcelorMittal,0.45967186486347167,Construcción,"Mineral, Metales Y Transformación"
Santander,ArcelorMittal,0.5360754080934734,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Solaria,ArcelorMittal,0.17354099431909065,Energías Renovables,"Mineral, Metales Y Transformación"
Telefónica,ArcelorMittal,0.20041821148883326,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Unicaja,ArcelorMittal,0.38489009499686866,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
ACS,BBVA,0.458444270763261,Construcción,Bancos Y Cajas De Ahorro
Acciona,BBVA,0.251630533821963,Construcción,Bancos Y Cajas De Ahorro
Acciona Energía,BBVA,0.16469257396813655,Energías Renovables,Bancos Y Cajas De Ahorro
Acerinox,BBVA,0.46926894820666387,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Aena,BBVA,0.36591711203314314,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Amadeus IT Group,BBVA,0.3864565247425749,Electrónica Y Software,Bancos Y Cajas De Ahorro
ArcelorMittal,BBVA,0.49588186926538097,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Banco Sabadell,BBVA,0.6822445029064031,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Bankinter,BBVA,0.638374653231223,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
CaixaBank,BBVA,0.674384901569452,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Cellnex Telecom,BBVA,0.09931697749656698,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Enagás,BBVA,0.13400266266314653,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Endesa,BBVA,0.21569334743634574,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Ferrovial,BBVA,0.3929439344140962,Construcción,Bancos Y Cajas De Ahorro
Fluidra,BBVA,0.32949575958213095,Ingeniería Y Otros,Bancos Y Cajas De Ahorro
Grifols,BBVA,0.19390862031149653,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Iberdrola,BBVA,0.21668550435281667,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Inditex,BBVA,0.4160517996519891,"Textil, Vestido Y Calzado",Bancos Y Cajas De Ahorro
Indra,BBVA,0.251625701915442,Electrónica Y Software,Bancos Y Cajas De Ahorro
Inmobiliaria Colonial,BBVA,0.3326283139933267,Socimi,Bancos Y Cajas De Ahorro
International Airlines Group,BBVA,0.43572525059200207,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Laboratorios Rovi,BBVA,0.15755038501683538,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Logista,BBVA,0.3358890625132055,Transporte Y Distribución,Bancos Y Cajas De Ahorro
MAPFRE,BBVA,0.529598476268751,Seguros,Bancos Y Cajas De Ahorro
Meliá Hotels International,BBVA,0.4204980107257653,"Ocio, Turismo Y Hostelería",Bancos Y Cajas De Ahorro
Merlin Properties,BBVA,0.36223330817551286,Socimi,Bancos Y Cajas De Ahorro
Naturgy,BBVA,0.18749803676956645,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Redeia,BBVA,0.07215637937495539,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Repsol,BBVA,0.27839957420199274,Petróleo,Bancos Y Cajas De Ahorro
Sacyr,BBVA,0.47816227078982887,Construcción,Bancos Y Cajas De Ahorro
Santander,BBVA,0.7901986784432987,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Solaria,BBVA,0.11661995391378888,Energías Renovables,Bancos Y Cajas De Ahorro
Telefónica,BBVA,0.24590240853803505,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Unicaja,BBVA,0.6401072849864388,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
ACS,Banco Sabadell,0.3841017636829147,Construcción,Bancos Y Cajas De Ahorro
Acciona,Banco Sabadell,0.1508172262723054,Construcción,Bancos Y Cajas De Ahorro
Acciona Energía,Banco Sabadell,0.1025880896284533,Energías Renovables,Bancos Y Cajas De Ahorro
Acerinox,Banco Sabadell,0.3823856701171328,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Aena,Banco Sabadell,0.30720349444008743,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Amadeus IT Group,Banco Sabadell,0.3255253211893832,Electrónica Y Software,Bancos Y Cajas De Ahorro
ArcelorMittal,Banco Sabadell,0.4032601289057637,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
BBVA,Banco Sabadell,0.6822445029064031,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Bankinter,Banco Sabadell,0.7484560546518263,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
CaixaBank,Banco Sabadell,0.7754568732128081,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Cellnex Telecom,Banco Sabadell,-0.005942263202874805,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Enagás,Banco Sabadell,0.08562580526614359,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Endesa,Banco Sabadell,0.1620402395894946,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Ferrovial,Banco Sabadell,0.28029151787181356,Construcción,Bancos Y Cajas De Ahorro
Fluidra,Banco Sabadell,0.21491709012242458,Ingeniería Y Otros,Bancos Y Cajas De Ahorro
Grifols,Banco Sabadell,0.16342040927346216,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Iberdrola,Banco Sabadell,0.11013243462693785,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Inditex,Banco Sabadell,0.2780770516604178,"Textil, Vestido Y Calzado",Bancos Y Cajas De Ahorro
Indra,Banco Sabadell,0.23802353401122392,Electrónica Y Software,Bancos Y Cajas De Ahorro
Inmobiliaria Colonial,Banco Sabadell,0.23147441005638394,Socimi,Bancos Y Cajas De Ahorro
International Airlines Group,Banco Sabadell,0.3984053764569886,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Laboratorios Rovi,Banco Sabadell,0.12461232939782763,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Logista,Banco Sabadell,0.3083247437583004,Transporte Y Distribución,Bancos Y Cajas De Ahorro
MAPFRE,Banco Sabadell,0.4952881665955566,Seguros,Bancos Y Cajas De Ahorro
Meliá Hotels International,Banco Sabadell,0.3647235652336668,"Ocio, Turismo Y Hostelería",Bancos Y Cajas De Ahorro
Merlin Properties,Banco Sabadell,0.27320476309821257,Socimi,Bancos Y Cajas De Ahorro
Naturgy,Banco Sabadell,0.11587017842910746,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Redeia,Banco Sabadell,0.03622744140815997,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Repsol,Banco Sabadell,0.2707616848075372,Petróleo,Bancos Y Cajas De Ahorro
Sacyr,Banco Sabadell,0.404092170500505,Construcción,Bancos Y Cajas De Ahorro
