Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Unicaja,Amadeus IT Group,0.34252739701743923,Bancos Y Cajas De Ahorro,Electrónica Y Software
ACS,ArcelorMittal,0.44072765863072805,Construcción,"Mineral, Metales Y Transformación"
Acciona,ArcelorMittal,0.23235955824171026,Construcción,"Mineral, Metales Y Transformación"
Acciona Energía,ArcelorMittal,0.15875542198557469,Energías Renovables,"Mineral, Metales Y Transformación"
Acerinox,ArcelorMittal,0.744875772580699,"Mineral, Metales Y Transformación","Mineral, Metales Y Transformación"
Aena,ArcelorMittal,0.2680915845454594,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Amadeus IT Group,ArcelorMittal,0.324308771263349,Electrónica Y Software,"Mineral, Metales Y Transformación"
BBVA,ArcelorMittal,0.4954895896612328,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Banco Sabadell,ArcelorMittal,0.40259024123831966,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Bankinter,ArcelorMittal,0.36757402120814997,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
CaixaBank,ArcelorMittal,0.39105078358631784,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Cellnex Telecom,ArcelorMittal,0.1199397232642008,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Enagás,ArcelorMittal,0.13404605384324741,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Endesa,ArcelorMittal,0.13560997847492923,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Ferrovial,ArcelorMittal,0.3443386056816647,Construcción,"Mineral, Metales Y Transformación"
Fluidra,ArcelorMittal,0.37671237776458333,Ingeniería Y Otros,"Mineral, Metales Y Transformación"
Grifols,ArcelorMittal,0.18813490590894524,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Iberdrola,ArcelorMittal,0.13986160898611658,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Inditex,ArcelorMittal,0.3207755163462288,"Textil, Vestido Y Calzado","Mineral, Metales Y Transformación"
Indra,ArcelorMittal,0.2315483288918065,Electrónica Y Software,"Mineral, Metales Y Transformación"
Inmobiliaria Colonial,ArcelorMittal,0.32134322563425416,Socimi,"Mineral, Metales Y Transformación"
International Airlines Group,ArcelorMittal,0.39376871817372155,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Laboratorios Rovi,ArcelorMittal,0.15547755535967403,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Logista,ArcelorMittal,0.23177399686193778,Transporte Y Distribución,"Mineral, Metales Y Transformación"
MAPFRE,ArcelorMittal,0.38384942186681353,Seguros,"Mineral, Metales Y Transformación"
Meliá Hotels International,ArcelorMittal,0.35295000682625305,"Ocio, Turismo Y Hostelería","Mineral, Metales Y Transformación"
Merlin Properties,ArcelorMittal,0.32607942727491046,Socimi,"Mineral, Metales Y Transformación"
Naturgy,ArcelorMittal,0.13961156217996828,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Redeia,ArcelorMittal,0.03723534623553022,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Repsol,ArcelorMittal,0.33564172914006535,Petróleo,"Mineral, Metales Y Transformación"
Sacyr,ArcelorMittal,0.45977999088014354,Construcción,"Mineral, Metales Y Transformación"
Santander,ArcelorMittal,0.5359789540053475,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Solaria,ArcelorMittal,0.1735917879285324,Energías Renovables,"Mineral, Metales Y Transformación"
Telefónica,ArcelorMittal,0.20165222929312845,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Unicaja,ArcelorMittal,0.38373212494720305,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
ACS,BBVA,0.45685683598836246,Construcción,Bancos Y Cajas De Ahorro
Acciona,BBVA,0.25153626473535057,Construcción,Bancos Y Cajas De Ahorro
Acciona Energía,BBVA,0.16520995840506061,Energías Renovables,Bancos Y Cajas De Ahorro
Acerinox,BBVA,0.4683298547422053,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Aena,BBVA,0.36479190407289896,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Amadeus IT Group,BBVA,0.38527724983680794,Electrónica Y Software,Bancos Y Cajas De Ahorro
ArcelorMittal,BBVA,0.4954895896612328,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Banco Sabadell,BBVA,0.6818922245963792,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Bankinter,BBVA,0.6378486133037864,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
CaixaBank,BBVA,0.6737502290815282,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Cellnex Telecom,BBVA,0.09989824170533984,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Enagás,BBVA,0.13545260603307804,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Endesa,BBVA,0.21719399357372213,Electricidad Y Gas,Bancos Y Cajas De Ahorro
